-DOCSTART- -X- -X-
  
What WP 0
is VBZ 0
a DT 0
good JJ 0
institute NN X
for IN 0
ITIL NNP 0
certifiXtion NN 0
in IN 0
Pune NNP 0
? . 0
  
who WP 0
are VBP 0
the DT X
parsis NN X
and 0 0
where WRB X
do VBP 0
most JJS 0
of IN 0
them PRP 0
live VBP X
today NN 0
  
which WDT 0
time NN X
period NN X
saw VBD 0
the DT 0
most JJS 0
immigrants NNS X
come VBN X
to IN X
the DT X
united JJ X
states NNS X
  
who WP 0
is VBZ 0
considered VBN 0
as IN 0
the DT 0
first JJ 0
film NN X
actress NN X
of IN X
sinhala NN X
Xnema NN X
  
What WP 0
's VBZ 0
the DT 0
worst JJS 0
hotel NN X
in IN 0
Agadès NNP 0
? . 0
  
in IN 0
which WDT 0
country NN X
of IN 0
east JJ 0
asia NN 0
are VBP 0
earthquakes NNS X
most RBS 0
frequent JJ X
  
What WP 0
are VBP 0
the DT 0
best JJS 0
restaurants NNS X
to TO 0
try VB 0
when WRB 0
visiting VBG 0
Reading NNP 0
, , 0
UK NNP 0
? . 0
What WP 0
should MD 0
you PRP 0
try VB 0
while IN 0
you PRP 0
're VBP 0
there RB 0
? . 0
  
who WP 0
was VBD 0
the DT 0
first JJ 0
president NN X
to TO 0
be VB 0
awarded VBN 0
the DT 0
nobel JJ 0
peace NN 0
prize NN 0
  
Where WRB 0
are VBP 0
the DT 0
best JJS 0
places NNS X
to TO 0
surf VB 0
on IN 0
Oahu NNP 0
? . 0
  
What WP 0
are VBP 0
the DT 0
differences NNS 0
between IN 0
the DT X
novel JJ X
Anna NNP X
Karenina NNP X
and 0 0
the DT X
2012 CD X
movie NN X
adaptation NN X
? . 0
  
density NN X
of IN X
water NN X
is VBZ 0
maximum JJ 0
at IN 0
which WDT 0
temperature NN X
  
Why WRB 0
are VBP 0
New NNP X
York NNP X
, , 0
London NNP X
and 0 0
Paris NNP X
seen VBN 0
as IN 0
the DT 0
greatest JJS 0
Xties NNS 0
? . 0
  
Which WDT 0
is VBZ 0
your PRP$ 0
favourite JJ 0
dish NN X
and 0 0
why WRB 0
? . 0
  
Why WRB 0
do VBP 0
people NNS 0
prefer VB 0
Quora NNP X
over IN 0
Yahoo NNP X
! . X
Answers NNS X
? . 0
  
which WDT 0
is VBZ 0
the DT 0
most RBS 0
important JJ X
organ NN X
of IN X
the DT X
uno NN X
  
What WP 0
's VBZ 0
the DT 0
worst JJS 0
thing NN X
your PRP$ 0
boyfriend NN 0
/ SYM 0
girlfriend NN 0
has VBZ 0
done VBN 0
to IN 0
you PRP 0
? . 0
  
who WP X
holds VBZ 0
the DT 0
record NN 0
for IN 0
most JJS 0
christmas JJ X
number NN X
1s CD X
  
What WP 0
is VBZ 0
