difficulty	preference	context	aspect	direct	opinion	argument	reason	method	factoid	super	comp	question	item_list	aspect_list	predicate_list	context_list	non-serious	navigational	spelling	rude	not question	dataset	capri_tag	pos	tokens
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	Is there a best time to study?	time	0	a best	to study	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', 'CI', 'CC', 'CC', '0']	['VBZ', 'EX', 'DT', 'JJS', 'NN', 'TO', 'VB', '.']	['Is', 'there', 'a', 'best', 'time', 'to', 'study', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	Which is a best mobile I can get at a price lower than 10,000?	mobile		a best	a price lower than 10,000	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', 'CI', '0', '0', '0', '0', 'CC', 'CC', 'CC', 'CC', 'CC', '0']	['WDT', 'VBZ', 'DT', 'JJS', 'NN', 'PRP', 'MD', 'VB', 'IN', 'DT', 'NN', 'JJR', 'IN', 'CD', '.']	['Which', 'is', 'a', 'best', 'mobile', 'I', 'can', 'get', 'at', 'a', 'price', 'lower', 'than', '10,000', '?']
											1	In what aspects is Kolkata (Calcutta) a better city than Ahmedabad?	kolkata (calcutta); ahmedabad		a better							q	['0', '0', '0', '0', 'CI', '0', '0', '0', 'CP', 'CP', '0', '0', '0', '0']	['IN', 'WDT', 'NNS', 'VBZ', 'NNP', '-LRB-', 'NNP', '-RRB-', 'DT', 'JJR', 'NN', 'IN', 'NNP', '.']	['In', 'what', 'aspects', 'is', 'Kolkata', '(', 'Calcutta', ')', 'a', 'better', 'city', 'than', 'Ahmedabad', '?']
											1	Is it a better idea to buy oneplus3 or I should go for an short term phone which works for 1-2 years?	buy oneplus3; go for an short term phone which works for 1-2 years		a better							q	['0', '0', 'CP', 'CP', '0', '0', 'CI', 'CI', '0', '0', '0', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', 'CI', '0']	['VBZ', 'PRP', 'DT', 'JJR', 'NN', 'TO', 'VB', 'NN', 'CC', 'PRP', 'MD', 'VB', 'IN', 'DT', 'JJ', 'NN', 'NN', 'WDT', 'VBZ', 'IN', 'CD', 'SYM', 'CD', 'NNS', '.']	['Is', 'it', 'a', 'better', 'idea', 'to', 'buy', 'oneplus3', 'or', 'I', 'should', 'go', 'for', 'an', 'short', 'term', 'phone', 'which', 'works', 'for', '1', '-', '2', 'years', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	Which is a better bike for commuting as well as occasional long rides - Street 220, or the Royal Enfield?	Street 220; the Royal Enfield	for commuting as well as occasional long rides	a better		0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', '0', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', '0', 'CI', 'CI', '0', '0', 'CI', 'CI', 'CI', '0']	['WDT', 'VBZ', 'DT', 'JJR', 'NN', 'IN', 'VBG', 'RB', 'RB', 'IN', 'JJ', 'JJ', 'NNS', 'HYPH', 'NN', 'CD', ',', 'CC', 'DT', 'NNP', 'NNP', '.']	['Which', 'is', 'a', 'better', 'bike', 'for', 'commuting', 'as', 'well', 'as', 'occasional', 'long', 'rides', '-', 'Street', '220', ',', 'or', 'the', 'Royal', 'Enfield', '?']
											1	Which is a better campus, PDPU or Nirma?	pdpu; nirma	campus	a better							q	['0', '0', 'CP', 'CP', 'CA', '0', '0', '0', '0', '0']	['WDT', 'VBZ', 'DT', 'JJR', 'NN', ',', 'NNP', 'CC', 'NNP', '.']	['Which', 'is', 'a', 'better', 'campus', ',', 'PDPU', 'or', 'Nirma', '?']
											1	Which is a better option MKCG in berhampur or KGMC manipal?	mkcg in berhampur; kgmc manipal		a better							q	['0', '0', 'CP', 'CP', '0', 'CI', 'CI', 'CI', '0', 'CI', 'CI', '0']	['WDT', 'VBZ', 'DT', 'JJR', 'NN', 'NNP', 'IN', 'NN', 'CC', 'NNP', 'NNP', '.']	['Which', 'is', 'a', 'better', 'option', 'MKCG', 'in', 'berhampur', 'or', 'KGMC', 'manipal', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	Which is a better place to study, the USA or Australia? Why?	the usa; australia		a better	to study	0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', '0', 'CC', 'CC', '0', 'CI', '0', '0', '0', '0', '0', '0']	['WDT', 'VBZ', 'DT', 'JJR', 'NN', 'TO', 'VB', ',', 'DT', 'NNP', 'CC', 'NNP', '.', 'WRB', '.']	['Which', 'is', 'a', 'better', 'place', 'to', 'study', ',', 'the', 'USA', 'or', 'Australia', '?', 'Why', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	Which would be a better way to invest your time in hedge fund industry: developing quantitative-driven strategies or fundamental-driven strategies?	developing quantitative-driven strategies; fundamental-driven strategies		a better		0.0	0.0	0.0	0.0	0.0	q	['0', '0', '0', 'CP', 'CP', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', 'CI', 'CI', 'CI', 'CI', 'CI', '0', 'CI', 'CI', 'CI', 'CI', '0']	['WDT', 'MD', 'VB', 'DT', 'JJR', 'NN', 'TO', 'VB', 'PRP$', 'NN', 'IN', 'NN', 'NN', 'NN', ':', 'VBG', 'JJ', 'HYPH', 'VBN', 'NNS', 'CC', 'RB', 'HYPH', 'VBN', 'NNS', '.']	['Which', 'would', 'be', 'a', 'better', 'way', 'to', 'invest', 'your', 'time', 'in', 'hedge', 'fund', 'industry', ':', 'developing', 'quantitative', '-', 'driven', 'strategies', 'or', 'fundamental', '-', 'driven', 'strategies', '?']
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	Who was a better Dumbledore -- Richard Harris (RIP) or Michael Gambon?	richard harris (rip); michael gambon	dumbledore	a better		0.0	0.0	0.0	0.0	0.0	q	['0', '0', 'CP', 'CP', '0', '0', 'CI', 'CI', '0', '0', '0', '0', 'CI', '0', '0']	['WP', 'VBD', 'DT', 'JJR', 'NNP', ':', 'NNP', 'NNP', '-LRB-', 'NNP', '-RRB-', 'CC', 'NNP', 'NNP', '.']	['Who', 'was', 'a', 'better', 'Dumbledore', '--', 'Richard', 'Harris', '(', 'RIP', ')', 'or', 'Michael', 'Gambon', '?']
