-DOCSTART- -X- -X-
  
What WP 0
is VBZ 0
a DT 0
good JJ 0
institute NN CI
for IN 0
ITIL NNP 0
certifi0tion NN 0
in IN 0
Pune NNP 0
? . 0
  
who WP 0
are VBP 0
the DT 0
parsis NN 0
and 0 0
where WRB CI
do VBP 0
most JJS 0
of IN 0
them PRP 0
live VBP 0
today NN 0
  
which WDT 0
time NN CI
period NN CI
saw VBD 0
the DT 0
most JJS 0
immigrants NNS 0
come VBN 0
to IN 0
the DT 0
united JJ 0
states NNS 0
  
who WP 0
is VBZ 0
considered VBN 0
as IN 0
the DT 0
first JJ 0
film NN CI
actress NN CI
of IN CI
sinhala NN CI
cinema NN CI
  
What WP 0
's VBZ 0
the DT 0
worst JJS 0
hotel NN CI
in IN 0
Agadès NNP 0
? . 0
  
in IN 0
which WDT 0
country NN CI
of IN 0
east JJ 0
asia NN 0
are VBP 0
earthquakes NNS 0
most RBS 0
frequent JJ 0
  
What WP 0
are VBP 0
the DT 0
best JJS 0
restaurants NNS CI
to TO 0
try VB 0
when WRB 0
visiting VBG 0
Reading NNP 0
, , 0
UK NNP 0
? . 0
What WP 0
should MD 0
you PRP 0
try VB 0
while IN 0
you PRP 0
're VBP 0
there RB 0
? . 0
  
who WP 0
was VBD 0
the DT 0
first JJ 0
president NN CI
to TO 0
be VB 0
awarded VBN 0
the DT 0
nobel JJ 0
peace NN 0
prize NN 0
  
Where WRB 0
are VBP 0
the DT 0
best JJS 0
places NNS CI
to TO 0
surf VB 0
on IN 0
Oahu NNP 0
? . 0
  
What WP 0
are VBP 0
the DT 0
differences NNS 0
between IN 0
the DT CI
novel JJ CI
Anna NNP CI
Karenina NNP CI
and 0 0
the DT CI
2012 CD CI
movie NN CI
adaptation NN CI
? . 0
  
density NN 0
of IN 0
water NN 0
is VBZ 0
maximum JJ 0
at IN 0
which WDT 0
temperature NN CI
  
Why WRB 0
are VBP 0
New NNP CI
York NNP CI
, , 0
London NNP CI
and 0 0
Paris NNP CI
seen VBN 0
as IN 0
the DT 0
greatest JJS 0
cities NNS 0
? . 0
  
Which WDT 0
is VBZ 0
your PRP$ 0
favourite JJ 0
dish NN CI
and 0 0
why WRB 0
? . 0
  
Why WRB 0
do VBP 0
people NNS 0
prefer VB 0
Quora NNP CI
over IN 0
Yahoo NNP CI
! . CI
Answers NNS CI
? . 0
  
which WDT 0
is VBZ 0
the DT 0
most RBS 0
important JJ 0
organ NN CI
of IN CI
the DT CI
uno NN CI
  
What WP 0
's VBZ 0
the DT 0
worst JJS 0
thing NN CI
your PRP$ 0
boyfriend NN 0
/ SYM 0
girlfriend NN 0
has VBZ 0
done VBN 0
to IN 0
you PRP 0
? . 0
  
who WP CI
holds VBZ 0
the DT 0
record NN 0
