comp	question	item_list	aspect_list	predicate_list	context_list	not question	dataset	question_NER	tokenized	pos	capri-tag
1	what is a good vitamin to enhance the brain	vitamin		a good	to enhance the brain	0.0	m	what is a good vitamin to enhance the brain	['what', 'is', 'a', 'good', 'vitamin', 'to', 'enhance', 'the', 'brain']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'TO', 'VB', 'DT', 'NN']	[0, 0, 'CP', 'CP', 'CI', 'CC', 'CC', 'CC', 'CC']
1	what is a good side dish for cilantro lime chicken	side dish		a good	for cilantro lime chicken	0.0	m	what is a good side dish for cilantro lime chicken	['what', 'is', 'a', 'good', 'side', 'dish', 'for', 'cilantro', 'lime', 'chicken']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'NN', 'IN', 'NN', 'NN', 'NN']	[0, 0, 'CP', 'CP', 'CI', 'CI', 'CC', 'CC', 'CC', 'CC']
1	what is a good set of golf clubs for a beginner	set of golf clubs		a good	for a beginner	0.0	m	what is a good set of golf clubs for a beginner	['what', 'is', 'a', 'good', 'set', 'of', 'golf', 'clubs', 'for', 'a', 'beginner']	['WP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NN', 'NNS', 'IN', 'DT', 'NN']	[0, 0, 'CP', 'CP', 'CI', 'CI', 'CI', 'CI', 'CC', 'CC', 'CC']
1	is zoe a good name	zoe; name		a good		0.0	m	is zoe a good name	['is', 'zoe', 'a', 'good', 'name']	['VBZ', 'VB', 'DT', 'JJ', 'NN']	[0, 'CI', 'CP', 'CP', 'CI']
1	which summertimes smell cream creates a most pleasant memories	summertimes smell cream	pleasant memories	a most		0.0	m	which summertimes smell cream creates a most pleasant memories	['which', 'summertimes', 'smell', 'cream', 'creates', 'a', 'most', 'pleasant', 'memories']	['WDT', 'VBZ', 'VBP', 'NN', 'VBZ', 'DT', 'RBS', 'JJ', 'NNS']	[0, 'CI', 'CI', 'CI', 0, 'CP', 'CP', 'CA', 'CA']
1	what is a disadvantage of using renewable energy resources	using renewable energy resources		disadvantage		0.0	m	what is a disadvantage of using renewable energy resources	['what', 'is', 'a', 'disadvantage', 'of', 'using', 'renewable', 'energy', 'resources']	['WP', 'VBZ', 'DT', 'NN', 'IN', 'VBG', 'JJ', 'NN', 'NNS']	[0, 0, 0, 'CP', 0, 'CI', 'CI', 'CI', 'CI']
1	benefit of grape seed oil	grape seed oil		benefit		1.0	m	benefit of grape seed oil	['benefit', 'of', 'grape', 'seed', 'oil']	['NN', 'IN', 'NN', 'NN', 'NN']	['CP', 0, 'CI', 'CI', 'CI']
1	benefits of plant based diet for health	plant based diet		benefits	for health	1.0	m	benefits of plant based diet for health	['benefits', 'of', 'plant', 'based', 'diet', 'for', 'health']	['NNS', 'IN', 'NN', 'VBN', 'NN', 'IN', 'NN']	['CP', 0, 'CI', 'CI', 'CI', 'CC', 'CC']
1	avocado oil benefits	avocado oil		benefits		1.0	m	avocado oil benefits	['avocado', 'oil', 'benefits']	['JJ', 'NN', 'NNS']	['CI', 'CI', 'CP']
1	benefits of a immune booster juice	a immune booster juice		benefits		1.0	m	benefits of a immune booster juice	['benefits', 'of', 'a', 'immune', 'booster', 'juice']	['NNS', 'IN', 'DT', 'JJ', 'NN', 'NN']	['CP', 0, 'CI', 'CI', 'CI', 'CI']
1	benefits of bromelain supplements	bromelain supplements		benefits		1.0	m	benefits of bromelain supplements	['benefits', 'of', 'bromelain', 'supplements']	['NNS', 'IN', 'NN', 'NNS']	['CP', 0, 'CI', 'CI']
1	benefits of ribose rx energy	ribose rx energy		benefits		1.0	m	benefits of ribose rx energy	['benefits', 'of', 'ribose', 'rx', 'energy']	['NNS', 'IN', 'NN', 'NN', 'NN']	['CP', 0, 'CI', 'CI', 'CI']
1	benefits of devops	devops		benefits		1.0	m	benefits of devops	['benefits', 'of', 'devops']	['NNS', 'IN', 'NNS']	['CP', 0, 'CI']
1	what is benefits biotin hair skin vitamins for body	biotin hair skin vitamins		benefits	for body	0.0	m	what is benefits biotin hair skin vitamins for body	['what', 'is', 'benefits', 'biotin', 'hair', 'skin', 'vitamins', 'for', 'body']	['WP', 'VBZ', 'NNS', 'JJ', 'NN', 'NN', 'NNS', 'IN', 'NN']	[0, 0, 'CP', 'CI', 'CI', 'CI', 'CI', 'CC', 'CC']
1	health benefits of tripe	tripe		benefits	health	1.0	m	health benefits of tripe	['health', 'benefits', 'of', 'tripe']	['NN', 'NNS', 'IN', 'NN']	['CC', 'CP', 0, 'CI']
1	benefits of coaching and counselling and mentoring in an institution	coaching; counselling; mentoring		benefits	in an institution	1.0	m	benefits of coaching and counselling and mentoring in an institution	['benefits', 'of', 'coaching', 'and', 'counselling', 'and', 'mentoring', 'in', 'an', 'institution']	['NNS', 'IN', 'NN', 'CC', 'NN', 'CC', 'NN', 'IN', 'DT', 'NN']	['CP', 0, 'CI', 0, 'CI', 0, 'CI', 'CC', 'CC', 'CC']
1	benefits of almond milk	almond milk		benefits		1.0	m	benefits of almond milk	['benefits', 'of', 'almond', 'milk']	['NNS', 'IN', 'JJ', 'NN']	['CP', 0, 'CI', 'CI']
1	benefits of drinking lavender	drinking lavender		benefits		1.0	m	benefits of drinking lavender	['benefits', 'of', 'drinking', 'lavender']	['NNS', 'IN', 'VBG', 'NN']	['CP', 0, 'CI', 'CI']
1	health benefits of canary seeds	canary seeds		benefits	health	1.0	m	health benefits of canary seeds	['health', 'benefits', 'of', 'canary', 'seeds']	['NN', 'NNS', 'IN', 'JJ', 'NNS']	['CC', 'CP', 0, 'CI', 'CI']
1	benefits of married	married		benefits		1.0	m	benefits of married	['benefits', 'of', 'married']	['NNS', 'IN', 'VBN']	['CP', 0, 'CI']
1	what are two benefits of practicing a sport?	practicing a sport		benefits		0.0	m	what are _NAMED_ENTITY_ benefits of practicing a sport?	['what', 'are', 'two', 'benefits', 'of', 'practicing', 'a', 'sport', '?']	['WP', 'VBP', 'CD', 'NNS', 'IN', 'VBG', 'DT', 'NN', '.']	[0, 0, 0, 'CP', 0, 'CI', 'CI', 'CI', 0]
1	best age to neuter male dog	age		best	to neuter male dog	0.0	m	best age to neuter male dog	['best', 'age', 'to', 'neuter', 'male', 'dog']	['JJS', 'NN', 'IN', 'NN', 'JJ', 'NN']	['CP', 'CI', 'CC', 'CC', 'CC', 'CC']
1	best time to visit xiamen	time		best	to visit xiamen	1.0	m	best time to visit xiamen	['best', 'time', 'to', 'visit', 'xiamen']	['JJS', 'NN', 'TO', 'VB', 'NNS']	['CP', 'CI', 'CC', 'CC', 'CC']
1	what is best grass for cattle	grass		best	for cattle	0.0	m	what is best grass for cattle	['what', 'is', 'best', 'grass', 'for', 'cattle']	['WP', 'VBZ', 'JJS', 'NN', 'IN', 'NNS']	[0, 0, 'CP', 'CI', 'CC', 'CC']
1	what vitamin is best for skin elasticity	vitamin		best	for skin elasticity	0.0	m	what vitamin is best for skin elasticity	['what', 'vitamin', 'is', 'best', 'for', 'skin', 'elasticity']	['WDT', 'NN', 'VBZ', 'JJS', 'IN', 'NN', 'NN']	[0, 'CI', 0, 'CP', 'CC', 'CC', 'CC']
1	best way to debug shell script	way		best	to debug shell script	1.0	m	best way to debug shell script	['best', 'way', 'to', 'debug', 'shell', 'script']	['JJS', 'NN', 'TO', 'VB', 'NN', 'NN']	['CP', 'CI', 'CC', 'CC', 'CC', 'CC']
1	why is concrete best for skateparks	concrete		best	for skateparks	0.0	m	why is concrete best for skateparks	['why', 'is', 'concrete', 'best', 'for', 'skateparks']	['WRB', 'VBZ', 'JJ', 'JJS', 'IN', 'NNS']	[0, 0, 'CI', 'CP', 'CC', 'CC']
1	best weapon in black ops 2	black ops 2	weapon	best		1.0	m	best weapon in black ops _NAMED_ENTITY_	['best', 'weapon', 'in', 'black', 'ops', '2']	['JJS', 'NN', 'IN', 'JJ', 'NNS', 'CD']	['CP', 'CA', 0, 'CI', 'CI', 'CI']
1	which are best days to buy cheap air tickets	days		best	to buy cheap air tickets	0.0	m	which are _NAMED_ENTITY_ to buy cheap air tickets	['which', 'are', 'best', 'days', 'to', 'buy', 'cheap', 'air', 'tickets']	['WDT', 'VBP', 'JJS', 'NNS', 'TO', 'VB', 'JJ', 'NN', 'NNS']	[0, 0, 'CP', 'CI', 'CC', 'CC', 'CC', 'CC', 'CC']
1	Best way to get rid of blackheads patch on face	way	to get rid of blackheads patch	best	on face	1.0	m	Best way to get rid of blackheads patch on face	['Best', 'way', 'to', 'get', 'rid', 'of', 'blackheads', 'patch', 'on', 'face']	['JJS', 'NN', 'TO', 'VB', 'VBN', 'IN', 'NNS', 'VBP', 'IN', 'NN']	['CP', 'CI', 'CA', 'CA', 'CA', 'CA', 'CA', 'CA', 'CC', 'CC']
1	best price on lorazepam	price		best	on lorazepam	1.0	m	best price on lorazepam	['best', 'price', 'on', 'lorazepam']	['JJS', 'NN', 'IN', 'NN']	['CP', 'CI', 'CC', 'CC']
1	best way to remove wire mesh	way		best	to remove wire mesh	1.0	m	best way to remove wire mesh	['best', 'way', 'to', 'remove', 'wire', 'mesh']	['JJS', 'NN', 'TO', 'VB', 'NN', 'VB']	['CP', 'CI', 'CC', 'CC', 'CC', 'CC']
1	best golfers at masters tournament last 5 years	golfers		best	at masters tournament last 5 years	1.0	m	best golfers at masters tournament _NAMED_ENTITY_	['best', 'golfers', 'at', 'masters', 'tournament', 'last', '5', 'years']	['JJS', 'NNS', 'IN', 'NNS', 'NN', 'JJ', 'CD', 'NNS']	['CP', 'CI', 'CC', 'CC', 'CC', 'CC', 'CC', 'CC']
1	you best way to clean paint brushes	way to clean paint brushes		best	you	0.0	m	you best way to clean paint brushes	['you', 'best', 'way', 'to', 'clean', 'paint', 'brushes']	['PRP', 'JJS', 'NN', 'TO', 'VB', 'NN', 'NNS']	['CC', 'CP', 'CI', 'CI', 'CI', 'CI', 'CI']
1	which is best treatment for hypothyroidism	treatment	for hypothyroidism	best		0.0	m	which is best treatment for hypothyroidism	['which', 'is', 'best', 'treatment', 'for', 'hypothyroidism']	['WDT', 'VBZ', 'JJS', 'NN', 'IN', 'NN']	[0, 0, 'CP', 'CI', 'CA', 'CA']
1	what is better mig or tig welding	mig; tig welding		better		0.0	m	what is better mig or tig welding	['what', 'is', 'better', 'mig', 'or', 'tig', 'welding']	['WP', 'VBZ', 'JJR', 'NNS', 'CC', 'NN', 'NN']	[0, 0, 'CP', 'CI', 0, 'CI', 'CI']
1	are gaming keyboards better than regular keyboards	gaming keyboards; regular keyboards		better		0.0	m	are gaming keyboards better than regular keyboards	['are', 'gaming', 'keyboards', 'better', 'than', 'regular', 'keyboards']	['VBP', 'VBG', 'NNS', 'RBR', 'IN', 'JJ', 'NNS']	[0, 'CI', 'CI', 'CP', 0, 'CI', 'CI']
