-DOCSTART- -X- -X-
  
What WP 0
is VBZ 0
a DT 0
good JJ 0
institute NN 0
for IN CC
ITIL NNP CC
certifi0tion NN CC
in IN CC
Pune NNP CC
? . 0
  
who WP 0
are VBP 0
the DT 0
parsis NN 0
and CC 0
where WRB 0
do VBP 0
most JJS 0
of IN 0
them PRP 0
live VBP 0
today NN CC
  
which WDT 0
time NN 0
period NN 0
saw VBD 0
the DT 0
most JJS 0
immigrants NNS 0
come VBN 0
to IN 0
the DT 0
united JJ 0
states NNS 0
  
who WP 0
is VBZ 0
considered VBN 0
as IN 0
the DT 0
first JJ 0
film NN 0
actress NN 0
of IN 0
sinhala NN 0
0nema NN 0
  
What WP 0
's VBZ 0
the DT 0
worst JJS 0
hotel NN 0
in IN CC
Agadès NNP CC
? . 0
  
in IN 0
which WDT 0
country NN 0
of IN CC
east JJ CC
asia NN CC
are VBP 0
earthquakes NNS 0
most RBS 0
frequent JJ 0
  
What WP 0
are VBP 0
the DT 0
best JJS 0
restaurants NNS 0
to TO CC
try VB CC
when WRB CC
visiting VBG CC
Reading NNP CC
, , CC
UK NNP CC
? . 0
What WP 0
should MD 0
you PRP 0
try VB 0
while IN 0
you PRP 0
're VBP 0
there RB 0
? . 0
  
who WP 0
was VBD 0
the DT 0
first JJ 0
president NN 0
to TO CC
be VB CC
awarded VBN CC
the DT CC
nobel JJ CC
peace NN CC
prize NN CC
  
Where WRB 0
are VBP 0
the DT 0
best JJS 0
places NNS 0
to TO CC
surf VB CC
on IN CC
Oahu NNP CC
? . 0
  
What WP 0
are VBP 0
the DT 0
differences NNS 0
between IN 0
the DT 0
novel JJ 0
Anna NNP 0
Karenina NNP 0
and CC 0
the DT 0
2012 CD 0
movie NN 0
adaptation NN 0
? . 0
  
density NN 0
of IN 0
water NN 0
is VBZ 0
maximum JJ 0
at IN 0
which WDT 0
temperature NN 0
  
Why WRB 0
are VBP 0
New NNP 0
York NNP 0
, , 0
London NNP 0
and CC 0
Paris NNP 0
seen VBN 0
as IN 0
the DT 0
greatest JJS 0
0ties NNS 0
? . 0
  
Which WDT 0
is VBZ 0
your PRP$ 0
favourite JJ 0
dish NN 0
and CC 0
why WRB 0
? . 0
  
Why WRB 0
do VBP 0
people NNS 0
prefer VB 0
Quora NNP 0
over IN 0
Yahoo NNP 0
! . 0
Answers NNS 0
? . 0
  
which WDT 0
is VBZ 0
the DT 0
most RBS 0
important JJ 0
organ NN 0
of IN 0
the DT 0
uno NN 0
  
What WP 0
's VBZ 0
the DT 0
worst JJS 0
thing NN 0
your PRP$ CC
boyfriend NN CC
/ SYM CC
girlfriend NN CC
has VBZ CC
done VBN CC
to IN CC
you PRP CC
? . 0
  
who WP 0
holds VBZ 0
the DT 0
