-DOCSTART- -X- -X-
  
What WP 0
is VBZ 0
a DT 0
good JJ 0
institute NN 0
for IN X
ITIL NNP X
certifiXtion NN X
in IN X
Pune NNP X
? . 0
  
who WP 0
are VBP 0
the DT X
parsis NN X
and X 0
where WRB 0
do VBP 0
most JJS 0
of IN 0
them PRP 0
live VBP X
today NN X
  
which WDT 0
time NN 0
period NN 0
saw VBD 0
the DT 0
most JJS 0
immigrants NNS X
come VBN X
to IN X
the DT X
united JJ X
states NNS X
  
who WP 0
is VBZ 0
considered VBN 0
as IN 0
the DT 0
first JJ 0
film NN 0
actress NN 0
of IN 0
sinhala NN 0
0nema NN 0
  
What WP 0
's VBZ 0
the DT 0
worst JJS 0
hotel NN 0
in IN X
Agadès NNP X
? . 0
  
in IN 0
which WDT 0
country NN 0
of IN X
east JJ X
asia NN X
are VBP 0
earthquakes NNS X
most RBS 0
frequent JJ X
  
What WP 0
are VBP 0
the DT 0
best JJS 0
restaurants NNS 0
to TO X
try VB X
when WRB X
visiting VBG X
Reading NNP X
, , X
UK NNP X
? . 0
What WP 0
should MD 0
you PRP 0
try VB 0
while IN 0
you PRP 0
're VBP 0
there RB 0
? . 0
  
who WP 0
was VBD 0
the DT 0
first JJ 0
president NN 0
to TO X
be VB X
awarded VBN X
the DT X
nobel JJ X
peace NN X
prize NN X
  
Where WRB 0
are VBP 0
the DT 0
best JJS 0
places NNS 0
to TO X
surf VB X
on IN X
Oahu NNP X
? . 0
  
What WP 0
are VBP 0
the DT 0
differences NNS 0
between IN 0
the DT 0
novel JJ 0
Anna NNP 0
Karenina NNP 0
and X 0
the DT 0
2012 CD 0
movie NN 0
adaptation NN 0
? . 0
  
density NN X
of IN X
water NN X
is VBZ 0
maximum JJ 0
at IN 0
which WDT 0
temperature NN 0
  
Why WRB 0
are VBP 0
New NNP 0
York NNP 0
, , 0
London NNP 0
and X 0
Paris NNP 0
seen VBN 0
as IN 0
the DT 0
greatest JJS 0
0ties NNS 0
? . 0
  
Which WDT 0
is VBZ 0
your PRP$ 0
favourite JJ 0
dish NN 0
and X 0
why WRB 0
? . 0
  
Why WRB 0
do VBP 0
people NNS 0
prefer VB 0
Quora NNP 0
over IN 0
Yahoo NNP 0
! . 0
Answers NNS 0
? . 0
  
which WDT 0
is VBZ 0
the DT 0
most RBS 0
important JJ X
organ NN 0
of IN 0
the DT 0
uno NN 0
  
What WP 0
's VBZ 0
the DT 0
worst JJS 0
thing NN 0
your PRP$ X
boyfriend NN X
/ SYM X
girlfriend NN X
has VBZ X
done VBN X
to IN X
you PRP X
? . 0
  
who WP 0
holds VBZ 0
the DT 0
record NN 0
for IN 0
most JJS 0
christmas JJ X
number NN X
1s CD X
  
What WP 0
is VBZ 0
it PRP 0
